Region,State,Metro,County,Code
Daly City,CA,San Francisco,San Mateo,285
Town of Greece,NY,Rochester,Monroe,286
Spring Hill,FL,Tampa,Hernando,287
New Bedford,MA,Providence,Bristol,288
Indio,CA,Riverside,Riverside,289
Hillsboro,OR,Portland,Washington,290
Chapel Hill,NC,Durham,Orange,291
Mission Viejo,CA,Los Angeles,Orange,292
High Point,NC,Greensboro,Guilford,293
Newton,MA,Boston,Middlesex,294
Brockton,MA,Boston,Plymouth,295
Anderson,SC,Anderson,Anderson,296
Apopka,FL,Orlando,Orange,297
Davie,FL,Miami-Fort Lauderdale,Broward,298
Sandy Springs,GA,Atlanta,Fulton,299
Riverview,FL,Tampa,Hillsborough,300
Lakewood Township,NJ,New York,Ocean,301
Kenosha,WI,Chicago,Kenosha,302
Midlothian,VA,Richmond,Chesterfield,303
Johnson City,TN,Johnson City,Washington,304
Orange Park,FL,Jacksonville,Clay,305
Plainfield,IL,Chicago,Will,306
Annapolis,MD,Baltimore,Anne Arundel,307
Champaign,IL,Champaign-Urbana,Champaign,308
Bethlehem Township,PA,Allentown,Northampton,309
Hawthorne,CA,Los Angeles,Los Angeles,310
Franklin,TN,Nashville,Williamson,311
Quincy,MA,Boston,Norfolk,312
Lithonia,GA,Atlanta,Dekalb,313
Valdosta,GA,Valdosta,Lowndes,314
Greeley,CO,Greeley,Weld,315
El Monte,CA,Los Angeles,Los Angeles,316
Kent,WA,Seattle,King,317
Acworth,GA,Atlanta,Cobb,318
Santa Monica,CA,Los Angeles,Los Angeles,319
Boulder,CO,Boulder,Boulder,320
Bowie,MD,Washington,Prince Georges,321
Federal Way,WA,Seattle,King,322
Livermore,CA,San Francisco,Alameda,323
McDonough,GA,Atlanta,Henry,324
Kennewick,WA,Kennewick,Benton,325
Lexington,SC,Columbia,Lexington,326
Lynn,MA,Boston,Essex,327
Waukegan,IL,Chicago,Lake,328
Canton,MI,Detroit,Wayne,329
Woodstock,GA,Atlanta,Cherokee,330
Lawton,OK,Lawton,Comanche,331
Toms River,NJ,New York,Ocean,332
Holland Township,MI,Holland,Ottawa,333
Westminster,CA,Los Angeles,Orange,334
Loveland,CO,Fort Collins,Larimer,335
Medford,OR,Medford,Jackson,336
Yakima,WA,Yakima,Yakima,337
Roswell,GA,Atlanta,Fulton,338
Reading,PA,Reading,Berks,339
Nashua,NH,Manchester,Hillsborough,340
Duluth,MN,Duluth,Saint Louis,341
Williamsburg,VA,Virginia Beach,James City,342
Highlands Ranch,CO,Denver,Douglas,343
Fall River,MA,Providence,Bristol,344
Sterling,VA,Washington,Loudoun,345
Cleveland,TN,Cleveland,Bradley,346
Germantown,MD,Washington,Montgomery,347
Norwalk,CT,Stamford,Fairfield,348
Plantation,FL,Miami-Fort Lauderdale,Broward,349
Santa Barbara,CA,Santa Barbara,Santa Barbara,350
Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,351
Sunrise,FL,Miami-Fort Lauderdale,Broward,352
Newnan,GA,Atlanta,Coweta,353
Herndon,VA,Washington,Fairfax,354
Richmond,CA,San Francisco,Contra Costa,355
Town of Poughkeepsie,NY,Poughkeepsie,Dutchess,356
Fort Smith,AR,Fort Smith,Sebastian,357
Warner Robins,GA,Warner Robins,Houston,358
Trenton,NJ,Trenton,Mercer,359
Deltona,FL,Daytona Beach,Volusia,360
Bloomington,IL,Bloomington,McLean,361
Largo,FL,Tampa,Pinellas,362
Bloomington,MN,Minneapolis-St Paul,Hennepin,363
Macon,GA,Macon,Bibb,364
Westland,MI,Detroit,Wayne,365
Whittier,CA,Los Angeles,Los Angeles,366
Jackson,TN,Jackson,Madison,367
Conyers,GA,Atlanta,Rockdale,368
Bremerton,WA,Bremerton,Kitsap,369
Flagstaff,AZ,Flagstaff,Coconino,370
Glen Burnie,MD,Baltimore,Anne Arundel,371
Clifton,NJ,New York,Passaic,372
Milton,FL,Pensacola,Santa Rosa,373
Sumter,SC,Sumter,Sumter,374
Cicero,IL,Chicago,Cook,375
Pittsburg,CA,San Francisco,Contra Costa,376
Kingsport,TN,Kingsport,Sullivan,377
Citrus Heights,CA,Sacramento,Sacramento,378
San Marcos,CA,San Diego,San Diego,379
Alhambra,CA,Los Angeles,Los Angeles,380
Lehigh Acres,FL,Fort Myers,Lee,381
Brandon,FL,Tampa,Hillsborough,382
Arden-Arcade,CA,Sacramento,Sacramento,383
Edmond,OK,Oklahoma City,Oklahoma,384
Chino,CA,Riverside,San Bernardino,385
Buena Park,CA,Los Angeles,Orange,386
Parma,OH,Cleveland,Cuyahoga,387
Longmont,CO,Boulder,Boulder,388
Troy,MI,Detroit,Oakland,389
Sanford,FL,Orlando,Seminole,390
Lexington,NC,Thomasville,Davidson,391
Danbury,CT,Stamford,Fairfield,392
Parker,CO,Denver,Douglas,393
Watsonville,CA,Santa Cruz,Santa Cruz,394
Dalton,GA,Dalton,Whitfield,395
Town 'n' Country,FL,Tampa,Hillsborough,396
Walnut Creek,CA,San Francisco,Contra Costa,397
City of Spokane Valley,WA,Spokane,Spokane,398
Gresham,OR,Portland,Multnomah,399
Utica,MI,Detroit,Macomb,400
Thousand Oaks,CA,Ventura,Ventura,401
Farmington Hills,MI,Detroit,Oakland,402
Macomb Township,MI,Detroit,Macomb,403
Lakewood,CA,Los Angeles,Los Angeles,404
Iowa City,IA,Iowa City,Johnson,405
Schaumburg,IL,Chicago,Cook,406
Evanston,IL,Chicago,Cook,407
Carson,CA,Los Angeles,Los Angeles,408
Canton,GA,Atlanta,Cherokee,409
Redmond,WA,Seattle,King,410
Eau Claire,WI,Eau Claire,Eau Claire,411
Camarillo,CA,Ventura,Ventura,412
Tustin,CA,Los Angeles,Orange,413
Warwick,RI,Providence,Kent,414
Kirkland,WA,Seattle,King,415
Camden,NJ,Philadelphia,Camden,416
Covina,CA,Los Angeles,Los Angeles,417
Apple Valley,CA,Riverside,San Bernardino,418
Melbourne,FL,Melbourne,Brevard,419
Redwood City,CA,San Francisco,San Mateo,420
Rome,GA,Rome,Floyd,421
Waldorf,MD,Washington,Charles,422
Porterville,CA,Visalia,Tulare,423
Ellicott City,MD,Baltimore,Howard,424
Salisbury,NC,Salisbury,Rowan,425
Town of Colonie,NY,Albany,Albany,426
Hoover,AL,Birmingham,Jefferson,427
Kendall,FL,Miami-Fort Lauderdale,Miami-Dade,428
Palm Coast,FL,Palm Coast,Flagler,429
Upland,CA,Riverside,San Bernardino,430
Racine,WI,Racine,Racine,431
Ashburn,VA,Washington,Loudoun,432
Leesburg,VA,Washington,Loudoun,433
Conway,AR,Little Rock,Faulkner,434
Lodi,CA,Stockton,San Joaquin,435
Plant City,FL,Tampa,Hillsborough,436
Bellflower,CA,Los Angeles,Los Angeles,437
Stafford,VA,Washington,Stafford,438
Lawrence,MA,Boston,Essex,439
Kalamazoo,MI,Kalamazoo,Kalamazoo,440
Maryville,TN,Knoxville,Blount,441
Brooklyn Park,MN,Minneapolis-St Paul,Hennepin,442
Scranton,PA,Scranton,Lackawanna,443
Greer,SC,Greenville,Greenville,444
Baldwin Park,CA,Los Angeles,Los Angeles,445
Turlock,CA,Modesto,Stanislaus,446
Brick,NJ,New York,Ocean,447
Oviedo,FL,Orlando,Seminole,448
Appleton,WI,Appleton,Outagamie,449
Arlington Heights,IL,Chicago,Cook,450
Somerville,MA,Boston,Middlesex,451
Huntington Park,CA,Los Angeles,Los Angeles,452
Marysville,WA,Seattle,Snohomish,453
Palm Harbor,FL,Tampa,Pinellas,454
Mountain View,CA,San Jose,Santa Clara,455
New Rochelle,NY,New York,Westchester,456
Alameda,CA,San Francisco,Alameda,457
Manteca,CA,Stockton,San Joaquin,458
New Britain,CT,Hartford,Hartford,459
Bellingham,WA,Bellingham,Whatcom,460
Port Charlotte,FL,Punta Gorda,Charlotte,461
Springfield,OR,Eugene,Lane,462
San Ramon,CA,San Francisco,Contra Costa,463
Casa Grande,AZ,Phoenix,Pinal,464
Folsom,CA,Sacramento,Sacramento,465
Smyrna,GA,Atlanta,Cobb,466
Pawtucket,RI,Providence,Providence,467
Mount Pleasant,SC,Charleston,Charleston,468
Snellville,GA,Atlanta,Gwinnett,469
Rochester Hills,MI,Detroit,Oakland,470
Southfield,MI,Detroit,Oakland,471
Plymouth,MN,Minneapolis-St Paul,Hennepin,472
Wilmington,DE,Philadelphia,New Castle,473
Simpsonville,SC,Greenville,Greenville,474
La Mesa,CA,San Diego,San Diego,475
Redlands,CA,Riverside,San Bernardino,476
Petaluma,CA,Santa Rosa,Sonoma,477
Waterford,MI,Detroit,Oakland,478
Lake Forest,CA,Los Angeles,Orange,479
Spring Valley,CA,San Diego,San Diego,480
North Charleston,SC,Charleston,Charleston,481
Cocoa,FL,Melbourne,Brevard,482
Tulare,CA,Visalia,Tulare,483
San Rafael,CA,San Francisco,Marin,484
Yuba City,CA,Yuba City,Sutter,485
Cranston,RI,Providence,Providence,486
Waipahu,HI,Honolulu,Honolulu,487
North Little Rock,AR,Little Rock,Pulaski,488
Asheville,NC,Asheville,Buncombe,489
Gastonia,NC,Charlotte,Gaston,490
Chino Hills,CA,Riverside,San Bernardino,491
Winchester,VA,Winchester,Frederick,492
Statesville,NC,Statesville,Iredell,493
Avondale,AZ,Phoenix,Maricopa,494
Mooresville,NC,Statesville,Iredell,495
Passaic,NJ,New York,Passaic,496
Bolingbrook,IL,Chicago,Will,497
Aiken,SC,Augusta,Aiken,498
Pasco,WA,Kennewick,Franklin,499
Weston,FL,Miami-Fort Lauderdale,Broward,500
Apex,NC,Raleigh,Wake,501
Lynwood,CA,Los Angeles,Los Angeles,502
Framingham,MA,Boston,Middlesex,503
Pleasanton,CA,San Francisco,Alameda,504
Dubuque,IA,Dubuque,Dubuque,505
Greenville,NC,Greenville,Pitt,506
Hanford,CA,Hanford,Kings,507
Fayetteville,AR,Fayetteville,Washington,508
Lauderhill,FL,Miami-Fort Lauderdale,Broward,509
Centreville,VA,Washington,Fairfax,510
Salisbury,MD,Salisbury,Wicomico,511
Punta Gorda,FL,Punta Gorda,Charlotte,512
Youngstown,OH,Youngstown,Mahoning,513
Lorain,OH,Cleveland,Lorain,514
Sanford,NC,Sanford,Lee,515
Eagan,MN,Minneapolis-St Paul,Dakota,516
Venice,FL,Sarasota,Sarasota,517
Mount Vernon,NY,New York,Westchester,518
Redondo Beach,CA,Los Angeles,Los Angeles,519
Milpitas,CA,San Jose,Santa Clara,520
Springdale,AR,Fayetteville,Washington,521
Brentwood,CA,San Francisco,Contra Costa,522
Grants Pass,OR,Grants Pass,Josephine,523
Arcadia,CA,Los Angeles,Los Angeles,524
Corvallis,OR,Corvallis,Benton,525
Glen Allen,VA,Richmond,Henrico,526
Union City,NJ,New York,Hudson,527
Schenectady,NY,Albany,Schenectady,528
Waterloo,IA,Waterloo,Black Hawk,529
Gaithersburg,MD,Washington,Montgomery,530
Palatine,IL,Chicago,Cook,531
Bel Air,MD,Baltimore,Harford,532
Union City,CA,San Francisco,Alameda,533
Palo Alto,CA,San Jose,Santa Clara,534
Saint Cloud,FL,Orlando,Osceola,535
Brunswick,GA,Brunswick,Glynn,536
West Bloomfield,MI,Detroit,Oakland,537
North Port,FL,Sarasota,Sarasota,538
Massillon,OH,Canton,Stark,539
San Luis Obispo,CA,San Luis Obispo,San Luis Obispo,540
Fayetteville,GA,Atlanta,Fayette,541
Perris,CA,Riverside,Riverside,542
Elyria,OH,Cleveland,Lorain,543
Lake Elsinore,CA,Riverside,Riverside,544
Pico Rivera,CA,Los Angeles,Los Angeles,545
Goodyear,AZ,Phoenix,Maricopa,546
East Orange,NJ,New York,Essex,547
Lakewood,WA,Seattle,Pierce,548
Daytona Beach,FL,Daytona Beach,Volusia,549
San Clemente,CA,Los Angeles,Orange,550
Fountainbleau,FL,Miami-Fort Lauderdale,Miami-Dade,551
York Township,PA,York,York,552
Carson City,NV,Carson City,Carson City,553
Lancaster Township,PA,Lancaster,Lancaster,554
Waukesha,WI,Milwaukee,Waukesha,555
San Gabriel,CA,Los Angeles,Los Angeles,556
Newport Beach,CA,Los Angeles,Orange,557
West Hartford,CT,Hartford,Hartford,558
Stockbridge,GA,Atlanta,Henry,559
Taylor,MI,Detroit,Wayne,560
Vienna,VA,Washington,Fairfax,561
Bethesda,MD,Washington,Montgomery,562
Dundalk,MD,Baltimore,Baltimore,563
La Crosse,WI,La Crosse,La Crosse,564
Rosemead,CA,Los Angeles,Los Angeles,565
Woodbury,MN,Minneapolis-St Paul,Washington,566
Bayonne,NJ,New York,Hudson,567
Laguna Niguel,CA,Los Angeles,Orange,568
Orland Park,IL,Chicago,Cook,569
Maple Grove,MN,Minneapolis-St Paul,Hennepin,570
Valrico,FL,Tampa,Hillsborough,571
Medina,OH,Cleveland,Medina,572
Oshkosh,WI,Oshkosh,Winnebago,573
South San Francisco,CA,San Francisco,San Mateo,574
Reston,VA,Washington,Fairfax,575
Encinitas,CA,San Diego,San Diego,576
Port Orchard,WA,Bremerton,Kitsap,577
Rocklin,CA,Sacramento,Placer,578
Waltham,MA,Boston,Middlesex,579
Ewa Beach,HI,Honolulu,Honolulu,580
Utica,NY,Utica,Oneida,581
Tamarac,FL,Miami-Fort Lauderdale,Broward,582
Jupiter,FL,Miami-Fort Lauderdale,Palm Beach,583
Haverhill,MA,Boston,Essex,584
Greenwich,CT,Stamford,Fairfield,585
Coon Rapids,MN,Minneapolis-St Paul,Anoka,586
Bellevue,NE,Omaha,Sarpy,587
Pasadena,MD,Baltimore,Anne Arundel,588
Burnsville,MN,Minneapolis-St Paul,Dakota,589
Easley,SC,Greenville,Pickens,590
Hamden,CT,New Haven,New Haven,591
Eden Prairie,MN,Minneapolis-St Paul,Hennepin,592
Montebello,CA,Los Angeles,Los Angeles,593
Brentwood,NY,New York,Suffolk,594
Delray Beach,FL,Miami-Fort Lauderdale,Palm Beach,595
Des Plaines,IL,Chicago,Cook,596
Vineland,NJ,Vineland,Cumberland,597
Yorba Linda,CA,Los Angeles,Orange,598
Florence-Graham,CA,Los Angeles,Los Angeles,599
North Bergen,NJ,New York,Hudson,600
Deland,FL,Daytona Beach,Volusia,601
North Miami,FL,Miami-Fort Lauderdale,Miami-Dade,602
Town of Janesville,WI,Janesville,Rock,603
Woodland,CA,Sacramento,Yolo,604
Kendale Lakes,FL,Miami-Fort Lauderdale,Miami-Dade,605
Bristol,CT,Hartford,Hartford,606
Lilburn,GA,Atlanta,Gwinnett,607
Hendersonville,TN,Nashville,Sumner,608
Springfield,OH,Springfield,Clark,609
West Allis,WI,Milwaukee,Milwaukee,610
Monterey Park,CA,Los Angeles,Los Angeles,611
Florence,SC,Florence,Florence,612
Valley Stream,NY,New York,Nassau,613
Meriden,CT,New Haven,New Haven,614
Mechanicsville,VA,Richmond,Hanover,615
La Habra,CA,Los Angeles,Orange,616
Novato,CA,San Francisco,Marin,617
Pontiac,MI,Detroit,Oakland,618
Lancaster,OH,Columbus,Fairfield,619
Snohomish,WA,Seattle,Snohomish,620
Fort Mill,SC,Charlotte,York,621
Rancho Cordova,CA,Sacramento,Sacramento,622
Malden,MA,Boston,Middlesex,623
National City,CA,San Diego,San Diego,624
