,zpid,address,city_state_zip,latitude,longitude,message_code,zestimate,rentzestimate,valuation_high,valuation_low,valuechange,home value index,tax assessment,tax assess year,year built,lot size,finished sq ft,bedrooms,bathrooms,Housing Growth,City
15,20058053,1801 N Kenneth Rd, Burbank CA 91504,34.19991772,-118.31832779999999,0,809373,3200.0,849842,768904,4367.0,"704,400",467964,2017,1951,6207,1349,3,1.0,0.06474641481739568,Burbank
16,20059627,849 Stephen Rd, Burbank CA 91504,34.20490133,-118.32131299999999,0,1359750,5000.0,1441335,1291763,16481.0,"704,400",655939,2017,1954,12918,3106,4,3.0,0.14544732487589632,Burbank
17,20054059,807 E Magnolia Blvd, Burbank CA 91501,34.19041154,-118.30448059999999,0,1500091,6500.0,1605097,1410086,43410.0,"704,400",1214679,2017,1990,7548,3510,5,4.0,0.3472589329580672,Burbank
18,20064293,3100 W Clark Ave, Burbank CA 91505,34.1660792,-118.3391584,0,886086,3300.0,930390,841782,-1600.0,"704,400",483405,2017,1944,8186,1598,3,3.0,-0.02166832564784908,Burbank
19,20055053,737 Tufts Ave, Burbank CA 91504,34.19774337,-118.31565,0,896872,3595.0,941716,852028,11211.0,"704,400",610227,2017,1951,6934,1515,3,2.0,0.15000133798356957,Burbank
20,20051476,910 N Orchard Dr, Burbank CA 91506,34.18028372,-118.33082730000001,0,899636,3475.0,944618,854654,14633.0,"704,400",421617,2017,1939,5623,1670,4,3.0,0.19518560840162022,Burbank
21,20060255,2911 Joaquin Dr, Burbank CA 91504,34.21006714,-118.3260654,0,1033467,3800.0,1085140,981794,-1941.0,"704,400",1159820,2017,1971,7564,2119,4,2.75,-0.022537729796887562,Burbank
22,20058740,1021 N Sunset Canyon Dr, Burbank CA 91504,34.19918337,-118.30617579999999,0,1698486,5815.0,1783410,1596577,123471.0,"704,400",1032448,2017,1958,10018,3644,4,5.0,0.8723368929740958,Burbank
23,20056484,2120 N Screenland Dr, Burbank CA 91505,34.18749453,-118.35108249999999,0,633986,2900.0,665685,602287,11423.0,"704,400",398137,2017,1941,6751,918,2,1.0,0.21621297631177974,Burbank
24,20049151,201 S Orchard Dr, Burbank CA 91506,34.16574556,-118.3237469,0,1041749,3800.0,1104254,989662,28273.0,"704,400",504085,2017,1947,9449,2103,2,2.0,0.3256792183145844,Burbank
25,20049707,341 S Virginia Ave, Burbank CA 91506,34.16630972,-118.31689329999999,0,878450,3495.0,922372,834528,9019.0,"704,400",501798,2017,1944,7463,1597,4,2.0,0.12320336957140418,Burbank
26,20059572,837 Stanford Rd, Burbank CA 91504,34.20350595,-118.3202892,0,937694,3500.0,984579,890809,3432.0,"704,400",91156,2017,1954,8962,1588,3,2.0,0.04392051138217798,Burbank
27,20059084,936 Delaware Rd, Burbank CA 91504,34.19666592,-118.3089152,0,956943,3500.0,1004790,909096,10880.0,"704,400",131576,2017,1952,7429,1671,4,2.0,0.13643445847871816,Burbank
28,20052423,252 W Tujunga Ave, Burbank CA 91502,34.17258989,-118.31374609999999,0,952454,2500.0,1000077,904831,-15727.0,"704,400",350542,2017,1925,7749,1912,3,2.0,-0.19814500227832527,Burbank
29,20065394,347 N Fairview St, Burbank CA 91505,34.16104628,-118.3369851,0,1102554,3823.0,1157682,1047426,21824.0,"704,400",887243,2017,1926,6098,2272,4,3.0,0.23752850200534395,Burbank
30,60325224,1899 Thurber Pl, Burbank CA 91501,34.19386414,-118.2821878,0,1027861,3900.0,1079254,976468,11542.0,"704,400",804440,2017,1967,7824,1832,3,3.0,0.13474973756179096,Burbank
31,95609509,1209 E Elmwood Ave, Burbank CA 91501,34.19393631,-118.2871041,0,4278122,15626.0,4577591,3935872,29477.0,"704,400",1695427,2017,2008,313020,7288,5,5.0,0.08268207405024915,Burbank
32,20057080,2333 N Catalina St, Burbank CA 91504,34.19497715,-118.3415226,0,790554,3200.0,830082,751026,-9704.0,"704,400",110538,2017,1939,6861,1801,3,2.0,-0.14729923572583278,Burbank
33,20065838,230 N California St, Burbank CA 91505,34.15701618,-118.33650259999999,0,860689,3200.0,903723,817655,6921.0,"704,400",77651,2017,1948,6730,1445,3,2.0,0.09649478499202384,Burbank
34,20060636,2621 N Myers St, Burbank CA 91504,34.20415388,-118.3348075,0,739687,3150.0,776671,702703,7437.0,"704,400",590265,2017,1948,6098,1226,3,1.0,0.12065103212575048,Burbank
35,60325224,1899 Thurber Pl, Burbank CA 91501,34.19236293,-118.2794942,0,1027861,3900.0,1079254,976468,11542.0,"704,400",804440,2017,1967,7824,1832,3,3.0,0.13474973756179096,Burbank
36,20056249,1211 N Sparks St, Burbank CA 91506,34.18556937,-118.32836429999999,0,703092,2800.0,738247,667937,9573.0,"704,400",369376,2017,1947,6526,777,2,1.0,0.16338686829035176,Burbank
37,20058024,1818 Karen St, Burbank CA 91504,34.19940363,-118.31951629999999,0,960841,3500.0,1008883,912799,1225.0,"704,400",830000,2017,1951,6833,1835,3,2.0,0.015299097353256158,Burbank
38,20065958,316 N Florence St, Burbank CA 91505,34.162961100000004,-118.33343149999999,0,1164453,2800.0,1222676,1106230,34050.0,"704,400",669917,2017,1950,6969,2319,4,3.0,0.3508943684287816,Burbank
39,20821676,824 S Bel Aire Dr, Burbank CA 91501,34.18517052,-118.29059679999999,0,1137013,3800.0,1193864,1080162,4929.0,"704,400",383003,2017,1975,14280,2118,4,2.0,0.052020513397823945,Burbank
40,82867990,1715 Rudell Rd, Burbank CA 91501,34.1942678,-118.2875005,0,2974673,9367.0,3182900,2706952,-4451.0,"704,400",993209,2017,2006,739113,4424,6,7.0,-0.01795558705108091,Burbank
41,20060508,3434 Viewcrest Dr, Burbank CA 91504,34.20922459,-118.32116950000001,0,2180258,6993.0,2289271,2071245,42640.0,"704,400",1028684,2017,1985,17100,5167,4,4.0,0.2346878213495834,Burbank
42,20060533,3421 Kildare Ct, Burbank CA 91504,34.21834095,-118.33303959999999,0,1503032,8350.0,1593214,1412850,-96786.0,"704,400",1720289,2017,2001,8990,3912,4,3.5,-0.7727260630512192,Burbank
43,20052277,618 N Beachwood Dr, Burbank CA 91506,34.17796873,-118.3258047,0,916071,3295.0,961875,870267,-13084.0,"704,400",259661,2017,1947,6154,2044,3,2.0,-0.1713928287217912,Burbank
44,20051594,634 N Parish Pl, Burbank CA 91506,34.17536693,-118.3289753,0,802861,3200.0,843004,762718,18039.0,"704,400",118731,2017,1938,7293,1560,2,2.0,0.2696207687258442,Burbank
45,20046812,1612 N Pepper St, Burbank CA 91505,34.17811875,-118.35014709999999,0,760960,3195.0,799008,722912,10177.0,"704,400",201249,2017,1948,5845,1391,3,2.0,0.1604867535744323,Burbank
46,20050688,544 N Lincoln St, Burbank CA 91506,34.17086447,-118.33137450000001,0,750781,2850.0,788320,713242,11879.0,"704,400",303916,2017,1947,7087,911,2,1.0,0.1898662859076082,Burbank
47,63082999,1620 N San Fernando Blvd, Burbank CA 91504,34.19184807,-118.32441850000001,0,384305,2200.0,403520,365090,4676.0,"704,400",202739,2017,1964,74074,860,2,1.0,0.1460090292866343,Burbank
48,20053822,456 E San Jose Ave, Burbank CA 91501,34.18690558,-118.30909840000001,0,533120,2545.0,559776,506464,13176.0,"704,400",244721,2017,1981,20128,1246,2,2.0,0.296578631452581,Burbank
49,95609509,1209 E Elmwood Ave, Burbank CA 91501,34.1946881,-118.2837795,0,4278122,15626.0,4577591,3935872,29477.0,"704,400",1695427,2017,2008,313020,7288,5,5.0,0.08268207405024915,Burbank
50,20057986,1914 Landis St, Burbank CA 91504,34.19542401,-118.32822479999999,0,863652,2450.0,906835,820469,14644.0,"704,400",65863,2017,1944,7232,1586,4,2.0,0.20347084242264246,Burbank
51,20057894,2204 Peyton Ave, Burbank CA 91504,34.19594973,-118.3325103,0,948524,2600.0,995950,901098,5695.0,"704,400",840000,2017,1952,7639,2082,5,2.0,0.07204878316204967,Burbank
52,20834498,Bicycle Path, Los Angeles CA 90039,34.14545201,-118.2773113,0,1002188,,1052297,952079,,"833,700",323300,2017,1924,7143,2000,2,2.0,,Los Angeles
53,20839498,1848 Sherer Ln, Glendale CA 91208,34.17281492,-118.2243158,0,1562046,4534.0,1640148,1483944,52752.0,"893,900",514355,2017,1978,47204,2860,3,3.0,0.40525311034374145,Glendale
54,20819723,1914 Polaris Dr, Glendale CA 91208,34.17685938,-118.2364619,0,1243694,3570.0,1305879,1181509,17236.0,"893,900",603941,2017,1971,29567,2092,3,2.0,0.16630457331144155,Glendale
55,20829562,606 South St, Glendale CA 91202,34.16239881,-118.26952250000001,0,645286,2750.0,684003,567852,-12388.0,"792,200",55927,2017,1924,5993,1091,2,1.0,-0.23037226904039448,Glendale
56,20825853,1412 Lake St, Glendale CA 91201,34.15909773,-118.2926851,0,775450,3000.0,814222,736678,6975.0,"641,600",566100,2017,1964,7499,1274,3,2.0,0.10793732671352119,Glendale
57,20830355,730 Patterson Ave, Glendale CA 91202,34.15723007,-118.27154159999999,0,803921,3250.0,844117,763725,9868.0,"720,000",82337,2017,1927,5476,1543,3,2.0,0.14729805540594162,Glendale
58,20842955,2242 E Chevy Chase Dr, Glendale CA 91206,34.15888653,-118.2179706,0,905009,3300.0,950259,859759,-16440.0,"936,400",649588,2017,1921,9409,1504,3,2.0,-0.2179867824518872,Glendale
59,20826346,1314 Norton Ave, Glendale CA 91202,34.16695073,-118.27428,0,1031017,3650.0,1082568,979466,8579.0,"792,200",104517,2017,1935,12050,1804,3,2.0,0.09985092389359244,Glendale
60,20835948,1201 E Broadway, Glendale CA 91205,34.14656589,-118.2389996,0,931473,2500.0,978047,884899,13055.0,"438,800",363524,2017,1946,5744,2111,4,3.0,0.16818522920149054,Glendale
61,20827302,1510 Virginia Ave, Glendale CA 91202,34.17096136,-118.2697451,0,1580709,4950.0,1659744,1485866,32960.0,"792,200",639743,2017,1960,20898,2686,3,3.0,0.2502168330793334,Glendale
62,20836584,826 N Glendale Ave, Glendale CA 91206,34.15821561,-118.23976370000001,0,728738,2695.0,765175,692301,2811.0,"833,700",243129,2017,1923,6559,1173,2,2.0,0.04628824076691486,Glendale
63,20835081,CA-2, Glendale CA,34.16658192,-118.2250108,0,535754,2650.0,562542,508966,4863.0,"438,800",403864,2017,1987,24762,1133,2,3.0,0.10892312516565439,Glendale
64,20843472,900 Calle Del Pacifico, Glendale CA 91208,34.16505524,-118.21694340000002,0,1257818,4303.0,1320709,1194927,15571.0,"929,700",728681,2017,1989,7975,2618,4,3.0,0.1485524932859921,Glendale
65,20847283,1201 Oakridge Dr, Glendale CA 91205,34.13214153,-118.2453591,0,904467,2995.0,949690,859244,4504.0,"683,800",149549,2017,1936,6302,1724,4,3.0,0.05975674071027467,Glendale
66,20832280,405 Chester St, Glendale CA 91203,34.15184525,-118.270118,0,1092564,3750.0,1201820,1037936,41535.0,"452,900",693819,2017,1923,6804,2344,5,3.0,0.4561929552868299,Glendale
67,20829741,516 W Stocker St, Glendale CA 91202,34.16296269,-118.265855,0,1192594,2895.0,1276076,1132964,20069.0,"792,200",541128,2017,1932,6790,2726,4,2.0,0.20193628342923073,Glendale
68,20837133,418 Ross St, Glendale CA 91207,34.16589296,-118.2502759,0,1095225,3506.0,1149986,1040464,19043.0,"833,700",344871,2017,1930,8276,1904,3,2.0,0.2086475381770869,Glendale
69,20838813,1530 Arboles Dr, Glendale CA 91207,34.1707016,-118.2361483,0,1320672,4327.0,1386706,1254638,-10172.0,"1,212,100",426734,2017,1938,13457,2354,3,3.0,-0.09242567420222432,Glendale
70,20834069,612 N Louise St, Glendale CA 91206,34.15518495,-118.2522075,0,470014,2400.0,493515,446513,8122.0,"414,500",73242,2017,1974,14643,1042,1,2.0,0.20736403596488615,Glendale
71,20838325,863 Harrington Rd, Glendale CA 91207,34.16723679,-118.244023,0,1426547,4532.0,1540671,1355220,-9555.0,"833,700",787119,2017,1958,17535,2524,3,3.0,-0.08037590068886619,Glendale
72,20839038,1333 Rossmoyne Ave, Glendale CA 91207,34.16514575,-118.2389085,0,1224662,4174.0,1285895,1163429,51792.0,"833,700",737070,2017,1925,7497,2327,3,3.0,0.507490229957327,Glendale
73,20828151,264 W Kenneth Rd, Glendale CA 91202,34.16855908,-118.2594449,0,912249,3800.0,957861,866637,10108.0,"474,200",743412,2017,1925,8359,1576,3,2.0,0.13296369741156197,Glendale
74,20827776,310 Wonderview Dr, Glendale CA 91202,34.17712677,-118.25979720000001,0,1173670,5000.0,1232353,1114987,114078.0,"1,278,200",1128000,2017,1967,7708,2314,2,3.0,1.1663721489004575,Glendale
75,20832797,124 W Garfield Ave, Glendale CA 91204,34.13550463,-118.25593970000001,0,1136388,2600.0,1238663,1045477,68784.0,"411,400",823063,2017,1914,7056,2448,5,4.0,0.7263434671960634,Glendale
76,20838610,911 Kilmary Ln, Glendale CA 91207,34.17851002,-118.24397579999999,0,1064218,3878.0,1117429,1011007,26418.0,"1,212,100",171407,2017,1973,9136,1938,3,2.0,0.29788633531851555,Glendale
77,20827774,225 Wonderview Dr, Glendale CA 91202,34.1774876,-118.25722809999999,0,1356699,5000.0,1424534,1288864,-15602.0,"1,278,200",991206,2017,1973,14531,2664,4,3.0,-0.13799965946757534,Glendale
78,55822880,1910 Las Flores Dr, Glendale CA 91207,34.17215258,-118.2314483,0,1983120,3995.0,2121938,1864133,67984.0,"1,212,100",1545465,2017,1954,34,2,5,4.0,0.4113760135543991,Glendale
79,20842468,1505 Lynglen Dr, Glendale CA 91206,34.15405281,-118.2306986,0,1449929,4800.0,1522425,1333935,-1623.0,"791,800",1068922,2017,1961,14617,2888,3,4.0,-0.013432381861456665,Glendale
80,20831646,453 Salem St, Glendale CA 91203,34.14898917,-118.2641712,0,1105383,2450.0,1193814,1039060,32643.0,"452,900",463057,2017,1910,7075,2306,4,3.0,0.35437129031295034,Glendale
81,20844357,1724 E Chevy Chase Dr, Glendale CA 91206,34.15398182,-118.2268565,0,938206,2800.0,985116,891296,17589.0,"791,800",572159,2017,1924,6885,2029,4,4.0,0.2249697827555995,Glendale
82,20832767,204 W Windsor Rd, Glendale CA 91204,34.13621766,-118.2564287,0,1575658,2700.0,1685954,1402336,895.0,"411,400",635186,2017,1923,7220,4504,5,4.0,0.006816199962174533,Glendale
83,20838625,901 Penshore Terrace, Glendale CA 91207,34.17633904,-118.2455293,0,1326316,4500.0,1405895,1260000,39831.0,"1,212,100",841724,2017,1973,13831,2448,4,3.0,0.36037565708322905,Glendale
84,20854338,420 W Elk Ave, Glendale CA 91204,34.14149912,-118.2616929,0,761199,2750.0,806871,723139,2237.0,"411,400",210101,2017,1910,6233,1127,3,2.0,0.035265416796396214,Glendale
85,20828793,417 Spencer St, Glendale CA 91202,34.1672184,-118.2632293,0,957141,3500.0,1004998,909284,2680.0,"474,200",328632,2017,1945,6367,1858,4,3.0,0.03360006519415635,Glendale
86,20832687,713 S Louise St, Glendale CA 91205,34.13804507,-118.25262659999999,0,1066149,2250.0,1151441,927550,40424.0,"448,000",66489,2017,1920,9992,2388,7,4.0,0.45499081272880243,Glendale
87,20827561,652 Robin Glen Dr, Glendale CA 91202,34.17753812,-118.27066210000001,0,2554668,7233.0,2707948,2426935,-63033.0,"1,278,200",1652400,2017,1977,63597,4219,4,5.0,-0.2960838746952637,Glendale
88,2109373749,CA-2, Glendale CA,34.16568642,-118.2246507,0,785601,2400.0,1201970,542065,9200.0,"452,900",286946,2017,1987,20084,967,2,1.0,0.1405293526866692,Glendale
89,20819771,1319 Branta Dr, Glendale CA 91208,34.17936014,-118.238925,0,1335953,4500.0,1402751,1269155,20109.0,"893,900",812862,2017,1968,15310,2681,4,3.0,0.1806261148408664,Glendale
90,20847872,1604 S Adams St, Glendale CA 91205,34.12724358,-118.2389303,0,826171,2500.0,875741,776601,-2824.0,"683,800",58253,2017,1960,4849,1650,4,2.0,-0.04101814273316299,Glendale
91,20835081,CA-2, Glendale CA 91206,34.14807533,-118.22635690000001,0,535754,2650.0,562542,508966,4863.0,"438,800",403864,2017,1987,24762,1133,2,3.0,0.10892312516565439,Glendale
92,20826658,1219 Bruce Ave, Glendale CA 91202,34.16575227,-118.2802588,0,819542,3750.0,860519,778565,18818.0,"792,200",704180,2017,1938,6942,1432,3,2.0,0.2755392646136501,Glendale
93,20835144,521 Galer Pl, Glendale CA 91206,34.15347669,-118.2390982,0,899720,3300.0,944706,845737,-4265.0,"438,800",621331,2017,1927,6364,2024,3,2.0,-0.056884364024363136,Glendale
94,20854558,349 W Garfield Ave, Glendale CA 91204,34.13598667,-118.26003759999999,0,803213,2675.0,843374,763052,21820.0,"411,400",379174,2017,1912,5145,1430,3,1.0,0.32599073969171316,Glendale
95,20849874,900 S Verdugo Rd, Glendale CA 91205,34.13592723,-118.23324309999998,0,784945,3000.0,824192,745698,19887.0,"510,200",291118,2017,1927,5549,1408,3,1.0,0.3040263967539127,Glendale
96,20839224,1076 Kildonan Dr, Glendale CA 91207,34.17559792,-118.24026840000002,0,1672206,5730.0,1755816,1588596,36111.0,"1,212,100",979241,2017,1979,11474,3732,5,4.0,0.2591379291785821,Glendale
97,20842582,562 Luton Dr, Glendale CA 91206,34.15419257,-118.2347396,0,807202,3350.0,847562,766842,2237.0,"791,800",538003,2017,1929,7452,1463,3,1.0,0.03325561631413203,Glendale
98,20832162,612 W Milford St, Glendale CA 91203,34.15232162,-118.2676706,0,600080,2500.0,630084,552074,3735.0,"452,900",244074,2017,1922,6022,892,4,1.0,0.07469004132782296,Glendale
99,20838598,903 Chudleigh Ln, Glendale CA 91207,34.17126709,-118.2432172,0,1345588,4500.0,1426323,1278309,-14531.0,"1,212,100",315050,2017,1969,13358,2470,3,3.0,-0.12958795708641874,Glendale
100,20837785,1901 Rimcrest Dr, Glendale CA 91207,34.17408437,-118.2537007,0,1233803,4553.0,1295493,1172113,88679.0,"1,278,200",701097,2017,1979,7496,2620,3,3.0,0.862494255565921,Glendale
101,79799493,428 W California Ave, Glendale CA 91203,34.14970892,-118.26260659999998,0,504733,2500.0,529970,479496,-2459.0,"452,900",369803,2017,2005,13856,1070,2,3.0,-0.05846259309377433,Glendale
102,20823162,1420 El Miradero Ave, Glendale CA 91201,34.17745983,-118.2801397,0,927141,3795.0,973498,880784,15391.0,"850,900",822812,2017,1927,6401,1802,3,2.0,0.19920594602115535,Glendale
103,20847577,1505 Wellesley Dr, Glendale CA 91205,34.12751043,-118.24040649999999,0,827307,2600.0,868672,785942,20441.0,"683,800",27801,2017,1925,3484,866,2,1.0,0.29649452984200547,Glendale
104,20843514,951 Calle Del Pacifico, Glendale CA 91208,34.16276931,-118.2182871,0,1435881,4750.0,1579469,1349728,31211.0,"929,700",1277000,2017,1989,10345,2528,4,3.0,0.2608377713752045,Glendale
105,20838613,900 Kilmary Ln, Glendale CA 91207,34.17774315,-118.24468490000001,0,1426930,5400.0,1498276,1341314,-19622.0,"1,212,100",716244,2017,1974,9840,3066,4,3.0,-0.16501440154737793,Glendale
106,20835612,1243 E Wilson Ave, Glendale CA 91206,34.14808706,-118.237831,0,4477097,2700.0,4880036,3895074,147715.0,"438,800",420410,2017,1937,18556,6786,14,11.0,0.3959217323189558,Glendale
107,20846678,516 Raleigh St, Glendale CA 91205,34.13788973,-118.2491439,0,1553505,2475.0,1662250,1382619,135249.0,"448,000",480872,2017,1921,7489,3691,5,5.0,1.0447266021029864,Glendale
108,20846826,410 E Windsor Rd, Glendale CA 91205,34.13698121,-118.2508837,0,1141251,2500.0,1255376,1049951,25360.0,"448,000",611476,2017,1913,6844,2725,3,4.0,0.26665474991916766,Glendale
109,20826223,1107 Glenwood Rd, Glendale CA 91202,34.16711055,-118.27796529999999,0,1064566,3500.0,1117794,1011338,219285.0,"792,200",777904,2017,1925,8976,2100,5,3.0,2.471824198781475,Glendale
110,20819522,2211 Bonita Dr, Glendale CA 91208,34.18001499,-118.2318568,0,1022745,3200.0,1073882,971608,5800.0,"893,900",29711,2017,1884,14289,1658,1,2.0,0.06805215376266811,Glendale
111,20838810,1620 Lamego Dr, Glendale CA 91207,34.17076582,-118.2354547,0,2110737,6317.0,2216274,2005200,-28193.0,"1,212,100",1607153,2017,1949,49789,2950,3,3.0,-0.16028335126545845,Glendale
112,20830090,720 Burchett St, Glendale CA 91202,34.15808951,-118.2720619,0,809380,3250.0,849849,768911,13777.0,"720,000",465998,2017,1925,5967,1517,3,2.0,0.20426005090316043,Glendale
113,20843026,649 Solway St, Glendale CA 91206,34.15818805,-118.2234361,0,858470,3325.0,901393,815547,7784.0,"936,400",697119,2017,1955,8037,1360,3,2.0,0.10880752967488672,Glendale
114,20844037,901 Lorinda Dr, Glendale CA 91206,34.15811037,-118.231771,0,966167,3500.0,1014475,917859,26945.0,"791,800",395397,2017,1957,8555,2001,3,2.5,0.33466264113760874,Glendale
115,20829751,545 South St, Glendale CA 91202,34.16294922,-118.26668629999999,0,537498,2700.0,564373,510623,12411.0,"792,200",459000,2017,1987,7153,1100,2,2.5,0.27708382170724355,Glendale
116,20819704,1416 Colina Dr, Glendale CA 91208,34.17703262,-118.23403710000001,0,1095668,3867.0,1150451,1040885,-6261.0,"893,900",880220,2017,1967,13812,1920,3,2.0,-0.06857186666033871,Glendale
117,20842481,410 Canyon Dr, Glendale CA 91206,34.15209163,-118.2344219,0,636553,3100.0,668381,598360,10473.0,"791,800",528121,2017,1936,6708,1470,2,1.0,0.19743210698873465,Glendale
118,20337825,916 Holly St, Inglewood CA 90301,33.951592100000006,-118.3642354,0,477816,2350.0,501707,453925,5161.0,"415,200",64935,2017,1930,3899,720,2,1.0,0.12961474709930182,Inglewood
119,20333202,223 Stepney St, Inglewood CA 90302,33.97172091,-118.3545158,0,421203,2175.0,442263,395931,27416.0,"415,200",355540,2017,1923,871,768,2,1.0,0.7810770578557132,Inglewood
120,20340510,8716 Endsleigh Ave, Inglewood CA 90305,33.95906142,-118.3396068,0,422383,2500.0,443502,401264,6127.0,"415,200",259001,2017,1987,70633,1199,3,2.0,0.17406950563824775,Inglewood
121,20340283,8808 Penridge Pl, Inglewood CA 90305,33.95641753,-118.3362315,0,563314,2850.0,591480,535148,5741.0,"415,200",295265,2017,1986,126260,1922,3,3.0,0.1222976883230312,Inglewood
122,20324062,216 W 64th Pl, Inglewood CA 90302,33.98004395,-118.36108130000001,0,816684,2950.0,857518,775850,9562.0,"415,200",456062,2017,1937,6142,2254,4,3.0,0.14049987510469167,Inglewood
123,20344376,3746 W 107th St, Inglewood CA 90303,33.93870113,-118.33907090000001,0,927684,2500.0,992622,844192,-36780.0,"415,200",680000,2017,1990,7834,2878,8,6.0,-0.4757654546160115,Inglewood
124,51582098,4954 Lennox Blvd, Inglewood CA 90304,33.93760093,-118.36555940000001,0,810058,2500.0,850561,769555,13992.0,"415,200",53913,2017,1960,9136,2276,6,2.0,0.20727404704354502,Inglewood
125,20332696,470 Edgewood St, Inglewood CA 90302,33.97079918,-118.35239340000001,0,690799,2800.0,725339,656259,2192.0,"415,200",124375,2017,1959,6545,1840,3,2.0,0.03807764631969647,Inglewood
126,2091789210,1 E Regent St, Inglewood CA 90301,33.96471458,-118.35505859999999,0,449133,2550.0,543451,426676,1991.0,"415,200",281345,2017,1955,6753,1600,3,3.0,0.053195823954151664,Inglewood
127,20347094,10707 Felton Ave, Inglewood CA 90304,33.93894764,-118.36591920000001,0,666091,2900.0,699396,632786,12956.0,"415,200",363478,2017,1949,6493,1744,3,2.0,0.2334095491456873,Inglewood
128,20329367,2523 W 80th St, Inglewood CA 90305,33.96644361,-118.3211014,0,584478,2975.0,613702,555254,-2068.0,"415,200",59738,2017,1939,6223,1723,3,2.0,-0.04245839877634402,Inglewood
129,20343717,3428 W 111th St, Inglewood CA 90303,33.93474895,-118.3328209,0,684829,2200.0,719070,650588,15045.0,"415,200",228506,2017,1915,11877,1800,4,3.0,0.26362785454471116,Inglewood
130,20331988,525 Hargrave St, Inglewood CA 90302,33.97909093,-118.35150349999999,0,829466,2500.0,870939,787993,-3892.0,"415,200",357306,2017,1923,6250,2366,6,4.0,-0.05630610537381882,Inglewood
131,20323996,309 W 64th Pl, Inglewood CA 90302,33.98053646,-118.3625925,0,612325,3000.0,642941,581709,9828.0,"415,200",276765,2017,1930,6213,1025,2,1.0,0.1926036010288654,Inglewood
132,20329133,3012 W 83rd St, Inglewood CA 90305,33.96291835,-118.32607820000001,0,602695,2900.0,632830,572560,17973.0,"415,200",447138,2017,1940,6250,1490,3,2.0,0.3578526452019678,Inglewood
