,zpid,address,city_state_zip,latitude,longitude,message_code,zestimate,valuation_high,valuation_low,home value index,tax assessment,tax assess year,year built,lot size,finished sq ft,bedrooms,bathrooms,rentzestimate,valuechange
434,65247408,1605 Pleasant Way, Pasadena CA 91105,34.13168234,-118.1803213,0,1220060,1329865,1122455,"1,083,500",292272,2017,1933,14503,1846,2,2,3856,-6222
435,20859062,430 Laguna Rd, Pasadena CA 91105,34.13460487,-118.1726985,0,3402836,3572978,3198666,"1,083,500",2558137,2017,1922,25264,3955,3,5,9675,49929
436,20913867,365 Atchison St, Pasadena CA 91104,34.17580002,-118.1434553,0,940430,987451,836983,"589,700",300603,2017,1911,8751,2472,6,2,3250,-10239
437,20857172,1450 West Dr, Pasadena CA 91105,34.16839548,-118.1717026,0,1076743,1130580,1022906,"1,083,500",908368,2017,1963,5995,2152,3,3,3666,6565
438,20871272,931 N Michigan Ave, Pasadena CA 91104,34.16223947,-118.1256401,0,920173,966182,874164,"769,000",289900,2017,1912,8103,1579,3,1,3200,19044
439,20856136,555 Glen Ct, Pasadena CA 91105,34.15483097,-118.1763488,0,3094922,3249668,2909227,"1,034,100",1703426,2017,1982,38184,3788,4,5,9836,9311
440,20869517,1501 Locust St, Pasadena CA 91106,34.15104503,-118.1195466,0,636856,668699,598645,"619,900",554785,2017,1978,8373,700,2,1,2500,15714
441,20871168,1025 N Mentor Ave, Pasadena CA 91104,34.16378161,-118.1315925,0,946163,993471,898855,"769,000",154943,2017,1907,6256,2092,4,1,3250,9392
442,20208623,21563 Cleardale St, Santa Clarita CA 91321,34.38946621,-118.5100557,0,413606,454967,351565,"476,300",128569,2017,1915,436280,534,1,1,2300,10447
443,20205856,24001 Briardale Way, Santa Clarita CA 91321,34.35776376,-118.5397209,0,743508,780683,706333,"459,200",593077,2017,1985,15921,3059,4,3,3500,13317
444,20227938,26327 Emerald Dove Dr, Santa Clarita CA 91355,34.40468246,-118.5652478,0,514185,539894,483334,"530,000",436742,2017,1988,7083,1532,3,3,2615,22494
445,20210604,22405 Cardiff Dr, Santa Clarita CA 91350,34.40333323,-118.524928,0,768470,806893,730047,"476,300",672258,2017,1988,21498,2573,4,3,3200,6826
446,20227860,26215 Paolino Pl, Santa Clarita CA 91355,34.39924336,-118.5661404,0,656110,688915,623305,"530,000",579477,2017,1987,12000,1839,3,3,3100,7106
447,20222345,25458 Ave Escalera, Santa Clarita CA 91355,34.38649597,-118.552921,0,697020,731871,662169,"530,000",631734,2017,1969,7069,2327,4,3,3200,7836
448,20205334,23649 Newhall Ave, Santa Clarita CA 91321,34.36865694,-118.5181222,0,638108,689157,555154,"459,200",289438,2017,1948,118401,1530,3,1,2800,-5967
